label,context_pass,overall,coherence,fluency,instructional_fit,semantic_specificity,repetition_penalty,notes,model_id,prompt_sha256,seed,elapsed_ms
HEAD_00_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10221328036156069941,10
HEAD_01_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,1256372688205885641,10
HEAD_02_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2548768726592393447,10
HEAD_03_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17112784274258685027,10
HEAD_04_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2912117848098985656,10
HEAD_05_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6638540130400849611,10
HEAD_06_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17597587829647851917,10
HEAD_07_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,14733851257155549224,10
HEAD_08_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,294427398408920899,10
HEAD_09_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17046725639816950642,10
HEAD_10_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,328548416481167356,10
HEAD_11_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6447887937345839947,10
HEAD_12_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8921337072100109600,10
HEAD_13_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4303143786761687074,10
HEAD_14_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9879774227070594058,10
HEAD_15_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3885054327988156236,10
HEAD_16_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6525953077692060103,10
HEAD_17_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,12146755325700228921,10
HEAD_18_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,15097519228427581255,10
HEAD_19_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9427323939185831835,10
HEAD_20_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6003947140259858169,10
HEAD_21_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2170244301537666599,10
HEAD_22_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,11600849061045626161,10
HEAD_23_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,5136027031437589298,10
HEAD_24_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,44495485339170562,10
HEAD_25_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3668708759695511602,10
HEAD_26_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2749343184915176989,10
HEAD_27_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10685360990139945516,10
HEAD_28_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,14845910986544531592,10
HEAD_29_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4347498184490336663,10
HEAD_30_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,13762769926380647957,10
HEAD_31_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,12370395955345038367,10
HEAD_32_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,7918505277051088229,10
HEAD_33_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3147039308550051555,10
HEAD_34_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,16474773251030946400,10
HEAD_35_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,7462009463109188892,10
HEAD_36_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17702568551962995868,10
HEAD_37_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6595261293748138192,10
HEAD_38_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,974717231870614676,10
HEAD_39_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17999722816258338572,10
HEAD_40_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9027572459816187241,10
HEAD_41_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,666570475127946222,10
HEAD_42_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4256177231671511498,10
HEAD_43_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,14022882904545429001,10
HEAD_44_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3906229364914672946,10
HEAD_45_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,1356686072725391570,10
HEAD_46_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,15879006570670350889,10
HEAD_47_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8166100296411681758,10
HEAD_48_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,13312481325261830572,10
HEAD_49_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,16380443038511256934,10
HEAD_50_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,1751952484963849222,10
HEAD_51_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8661631410661752761,10
HEAD_52_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2774632916421380301,10
HEAD_53_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17573212909635474965,10
HEAD_54_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,11617114916630285442,10
HEAD_55_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,799303845563921721,10
HEAD_56_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4395805119828598768,10
HEAD_57_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2078741988145285196,10
HEAD_58_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,5858752925453239948,10
HEAD_59_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,16706802531119362385,10
HEAD_60_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,179380660384316688,10
HEAD_61_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4548202353300751299,10
HEAD_62_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,11539144108518173094,10
HEAD_63_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3759116316943973755,10
HEAD_64_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2275077371636630227,10
HEAD_65_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,13414059433173018488,10
HEAD_66_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6950765619744763630,10
HEAD_67_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17964645696903241073,10
HEAD_68_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,15636046328310642258,10
HEAD_69_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,12459628970073370492,10
HEAD_70_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10348741173778562613,10
HEAD_71_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,5693964416099396366,10
HEAD_72_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,1460124426826267889,10
HEAD_73_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,15277093398506353903,10
HEAD_74_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,14671537483096626346,10
HEAD_75_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,11433554770974683642,10
HEAD_76_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,12899636042134581676,10
HEAD_77_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4263251930121074022,10
HEAD_78_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4910128697630061613,10
HEAD_79_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,14757984876339781374,10
HEAD_80_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,13896847381613308116,10
HEAD_81_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6933953641527749173,10
HEAD_82_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8006871110687439792,10
HEAD_83_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2048788642768538321,10
HEAD_84_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,14555327943708026575,10
HEAD_85_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9053262641103966891,10
HEAD_86_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,12902597732590012026,10
HEAD_87_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4443759764291941660,10
HEAD_88_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9828473877608021388,10
HEAD_89_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10668370089633133878,10
HEAD_90_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9288465813277488553,10
HEAD_91_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,16224945900523231348,10
HEAD_92_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,16390179755935072317,10
HEAD_93_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,5708472267262717279,10
HEAD_94_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,16336464743814032064,10
HEAD_95_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9537236406465244432,10
HEAD_96_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17915161792697975126,10
HEAD_97_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,7423829948075573999,10
