id,anchors_preserved,head_text,max_consonant_run,survey_terms,family,L,phase,offset,notes
A-true_ne_plus-L_int-vigenere,False,WIQWYRZPGGSIXNIEAWRQ,9,,vigenere,61,0,18,
A-true_ne_plus-L_int-beaufort,False,ESKECJBLUUISDNSWAEJK,5,,beaufort,61,0,18,
A-true_ne_plus-L_int-variant_beaufort,False,GUEMQLVNGIWOFXUSQOLM,6,,variant_beaufort,61,0,18,
A-true_ne_plus-L_round-vigenere,False,WIQWYRZPGGSIXNIEAWRQ,9,,vigenere,62,0,18,
A-true_ne_plus-L_round-beaufort,False,ESKECJBLUUISDNSWAEJK,5,,beaufort,62,0,18,
A-true_ne_plus-L_round-variant_beaufort,False,GUEMQLVNGIWOFXUSQOLM,6,,variant_beaufort,62,0,18,
A-true_ne_plus-L_int_phase41-vigenere,False,GSAGIBJZQQCSHXSOKGBA,10,,vigenere,61,41,19,
A-true_ne_plus-L_int_phase41-beaufort,False,UIAUSZRBKKYITDIMQUZA,7,,beaufort,61,41,19,
A-true_ne_plus-L_int_phase41-variant_beaufort,False,WKUCGBLDWYMEVNKIGEBC,8,,variant_beaufort,61,41,19,
A-true_ne_plus-L_round_phase48-vigenere,False,DPXDFYGWNNZPEUZVRNIH,12,,vigenere,62,48,15,
A-true_ne_plus-L_round_phase48-beaufort,False,XLDXVCUENNBLWGBFJNST,12,,beaufort,62,48,15,
A-true_ne_plus-L_round_phase48-variant_beaufort,False,ZNXFJEOGZBPHYQDBZXUV,11,,variant_beaufort,62,48,15,
A-true_ene_minus-L_int-vigenere,False,UGOUWPXNEEQGVLGCYUPO,7,,vigenere,50,0,20,
A-true_ene_minus-L_int-beaufort,False,GUMGELDNWWKUFPUYCGLM,6,,beaufort,50,0,20,
A-true_ene_minus-L_int-variant_beaufort,False,IWGOSNXPIKYQHZWUSQNO,6,,variant_beaufort,50,0,20,
A-true_ene_minus-L_round-vigenere,False,TFNTVOWMDDPFUKFBXTON,6,,vigenere,51,0,21,
A-true_ene_minus-L_round-beaufort,False,HVNHFMEOXXLVGQVZDHMN,12,,beaufort,51,0,21,
A-true_ene_minus-L_round-variant_beaufort,False,JXHPTOYQJLZRIAXVTROP,6,,variant_beaufort,51,0,21,
A-true_ene_minus-L_int_phase41-vigenere,False,GSAGIBJZQOAQFVQMIEZY,5,,vigenere,50,41,19,
A-true_ene_minus-L_int_phase41-beaufort,False,UIAUSZRBKMAKVFKOSWBC,6,,beaufort,50,41,19,
A-true_ene_minus-L_int_phase41-variant_beaufort,False,WKUCGBLDWAOGXPMKIGDE,6,,variant_beaufort,50,41,19,
A-true_ene_minus-L_round_phase48-vigenere,False,DPXCEXFVMMYODTOKGCXW,6,,vigenere,51,48,15,
A-true_ene_minus-L_round_phase48-beaufort,False,XLDYWDVFOOCMXHMQUYDE,8,,beaufort,51,48,15,
A-true_ene_minus-L_round_phase48-variant_beaufort,False,ZNXGKFPHACQIZROMKIFG,8,,variant_beaufort,51,48,15,
A-mag_ne_plus_1989-L_int-vigenere,False,ZLTZBUCSJJVLAQLHDZUT,6,,vigenere,59,0,15,
A-mag_ne_plus_1989-L_int-beaufort,False,BPHBZGYIRRFPAKPTXBGH,7,,beaufort,59,0,15,
A-mag_ne_plus_1989-L_int-variant_beaufort,False,DRBJNISKDFTLCURPNLIJ,7,,variant_beaufort,59,0,15,
A-mag_ne_plus_1989-L_round-vigenere,False,ZLTZBUCSJJVLAQLHDZUT,6,,vigenere,60,0,15,
A-mag_ne_plus_1989-L_round-beaufort,False,BPHBZGYIRRFPAKPTXBGH,7,,beaufort,60,0,15,
A-mag_ne_plus_1989-L_round-variant_beaufort,False,DRBJNISKDFTLCURPNLIJ,7,,variant_beaufort,60,0,15,
A-mag_ne_plus_1989-L_int_phase41-vigenere,False,GSAGIBJZQQCSHXSOKGIH,10,,vigenere,59,41,19,
