id,datetime,mask,base_bearing,anchors_passed,head_text,max_cc_run,survey_terms,config
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Light-off_alpha_floor-phase0,1989-11-09T17:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Light
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Swap-off_alpha_floor-phase0,1989-11-09T17:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Swap
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Tri-off_alpha_floor-phase0,1989-11-09T17:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Tri
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Light-off_alpha_round-phase0,1989-11-09T17:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Light
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Swap-off_alpha_round-phase0,1989-11-09T17:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Swap
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Tri-off_alpha_round-phase0,1989-11-09T17:53,Azones,true_ne_plus,False,JXHPTOYQJLZRRJGECAXY,9,,S-Tri
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Light-off_alpha_floor-phase41,1989-11-09T17:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Light
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Swap-off_alpha_floor-phase41,1989-11-09T17:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Swap
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Tri-off_alpha_floor-phase41,1989-11-09T17:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Tri
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Light-off_alpha_round-phase41,1989-11-09T17:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Light
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Swap-off_alpha_round-phase41,1989-11-09T17:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Swap
HSH-1989-11-09T17:53-Azones-true_ne_plus-S-Tri-off_alpha_round-phase41,1989-11-09T17:53,Azones,true_ne_plus,False,PDNVZUNFYAOGXPMKIGDE,5,,S-Tri
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Light-off_alpha_floor-phase0,1989-11-09T17:53,Azones,true_ene_minus,False,KYCKOJTLYAOGXPGECAXY,4,,S-Light
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Swap-off_alpha_floor-phase0,1989-11-09T17:53,Azones,true_ene_minus,False,KYCKOJTLYAOGXPGECAXY,4,,S-Swap
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Tri-off_alpha_floor-phase0,1989-11-09T17:53,Azones,true_ene_minus,False,KYCKOJTLYAOGXPGECAXY,4,,S-Tri
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Light-off_alpha_round-phase0,1989-11-09T17:53,Azones,true_ene_minus,False,LZDLPKUMZBPHYQHFDBYZ,13,,S-Light
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Swap-off_alpha_round-phase0,1989-11-09T17:53,Azones,true_ene_minus,False,LZDLPKUMZBPHYQHFDBYZ,13,,S-Swap
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Tri-off_alpha_round-phase0,1989-11-09T17:53,Azones,true_ene_minus,False,LZDLPKUMZBPHYQHFDBYZ,13,,S-Tri
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Light-off_alpha_floor-phase41,1989-11-09T17:53,Azones,true_ene_minus,False,LTDLPKUGZBPHYKHFDBYT,13,,S-Light
HSH-1989-11-09T17:53-Azones-true_ene_minus-S-Swap-off_alpha_floor-phase41,1989-11-09T17:53,Azones,true_ene_minus,False,LTDLPKUGZBPHYKHFDBYT,13,,S-Swap
