label,head_0_74,head_sha256,seed,content_ratio,np_count,unique_content_types,passes_generation,context_pass,context_overall,context_coherence,context_fluency,context_instructional_fit,context_semantic_specificity
HEAD_000_v52,BRING THE STONE TO STATION THEN APPLY THE ROSE THEN MARK AND READ,0c09ada5c2a41fabb67bea44729f4afa8b8248de79995f6a0e1f7f19ebc7cecf,1337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_001_v52,BRING THE STONE TO LINE THEN APPLY THE STONE THEN MARK AT STATION,619e33f4ab7ef4c008f690d94fc4305f9df5c4c2c7d3fc51bc15e4666ba3fc12,2337,0.6923076923076923,2,8,True,True,5,5,5,4,4
HEAD_002_v52,BRING THE DIAL TO YARD THEN ALIGN THE ARC THEN NOTE AND READ,11232eaca65208a418c9ea28228a44bad006d697d0c18991f160b77067c2bdaa,3337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_003_v52,SIGHT THE SECTOR THEN NOTE THE SECTOR THEN NOTE AND READ AT STATION,19cf148ab03e2f143b73777bf478d8cc4faaabbf2d693b5edcb6d812cda9b092,4337,0.6153846153846154,2,6,True,True,5,5,5,4,4
HEAD_004_v52,SIGHT THE QUADRANT THEN NOTE THE CIRCLE AT STATION THEN MARK,5a0e54c89c58f3edfaa4e3580d29b7fc8453e9cbb52c2fb9ef6d338be644c436,5337,0.6363636363636364,2,7,True,True,4,5,5,3,4
HEAD_005_v52,MARK THE MARKER THEN ADJUST THE STONE THEN NOTE THEN MARK AT STATION,60473dc9d34940ccf3e4b2cd0000bcdcfed424fd6bb02dfe99eaa4758a530cd3,6337,0.6153846153846154,2,7,True,True,4,5,5,3,4
HEAD_006_v52,FOLLOW THE PLINTH TOWARD THE YARD THEN READ THE CIRCLE THEN MARK,ba17f373a3f6c8a1f7d1c593d6086f1210892e97d0d1b6132f5d0a1a52082c13,7337,0.5833333333333334,3,7,True,True,5,5,5,4,4
HEAD_007_v52,SIGHT THE QUADRANT THEN NOTE THE STATION THEN NOTE AT STATION,14beec8c96acda68569f8a98be375e07cfa92c4564f4f431ebeb843abd239461,8337,0.6363636363636364,2,5,True,True,4,5,5,3,4
HEAD_008_v52,FOLLOW THE DIAL TOWARD THE MERIDIAN THEN READ THE COURSE AND READ,c183368e95add74d0af123ac664398c5f97fde9cf27b70466682aefc61245627,9337,0.5833333333333334,3,6,True,True,5,5,5,4,4
HEAD_009_v52,MARK THE MARKER THEN ADJUST THE STATION THEN MARK THEN MARK THEN NOTE,bda18d56b227779434253825863c1a487e053671d1ed60029126174e756b4009,10337,0.5384615384615384,2,5,True,True,4,5,5,3,4
HEAD_010_v52,OBSERVE THE PLATE THEN REDUCE THE DISTANCE TO TRUE AND READ AND READ,78cefd56a282bfe3d8de31246479a0f5ef02166b367bdea5e03876cdee574e5a,11337,0.6153846153846154,2,7,True,True,5,5,5,4,4
HEAD_011_v52,SIGHT THE QUADRANT THEN NOTE THE ROSE THEN MARK THEN MARK AND READ,b065c766f25aee9fff68d44d8f6a2921671557f9d152a4a038468742fd128c68,12337,0.5384615384615384,2,6,True,True,5,5,5,4,4
HEAD_012_v52,OBSERVE THE QUADRANT THEN REDUCE THE DISTANCE TO DEGREES THEN NOTE,fb688f9b4cd7451e744fd5c46dd272d70f4c222553c9f90cd91b0108d491c8ac,13337,0.6363636363636364,2,7,True,True,5,5,5,4,4
HEAD_013_v52,SET THE LINE TO TRUE QUADRANT THEN READ THE CIRCLE THEN NOTE,64295b4402327a39d8e52548e4a9bd13b1fe3bfeac5602ff85a0dc3ac047e58b,14337,0.6666666666666666,2,8,True,True,5,5,5,4,4
HEAD_014_v52,SET THE ARC TO ARCMINUTE POLE THEN READ THE STONE AT STATION,d74ac3e8fdf0a553f5b85bfb9448e76cd5b721c8cbf84f800ac1a1fc45ccfe65,15337,0.75,2,9,True,True,5,5,5,4,4
HEAD_015_v52,NOTE THE YARD AT THE POLE THEN CORRECT THEN NOTE AND READ AT STATION,858e7b20579b34792fed2b2a774cc39fba3abd94fde79a49cb7e5add96c7f2aa,16337,0.6428571428571429,2,7,True,True,5,5,5,4,4
HEAD_016_v52,TRACE THE COURSE THEN SET THE ARC THEN NOTE THEN MARK AND READ,e3fa76a75eff4f57ee71b898b8decd4d3c7c36697e08e6b4a56d829d5999aaf5,17337,0.5384615384615384,2,7,True,True,5,5,5,4,4
HEAD_017_v52,FOLLOW THE LINE ALONG THE PLATE THEN READ THE MARKER AND READ,bb3dd105bede8f6b0046458b256a8787e164cef0fe7f0157c305ea1399691b59,18337,0.5833333333333334,3,6,True,True,5,5,5,4,4
HEAD_018_v52,FOLLOW THE DIAL FROM THE STONE THEN READ THE COURSE THEN NOTE,0dfdd53dfe3a0e251ee57fa0a1d91b3229b57685922f72f8bd4307bbbeb10cec,19337,0.5833333333333334,3,7,True,True,5,5,5,4,4
HEAD_019_v52,NOTE THE YARD AT THE RING THEN NOTE AT STATION AND READ AT STATION,90dba374d30ce54555c3211e5cb9dc31fdb9520e27d8896fa2ca35386f659464,20337,0.7142857142857143,2,6,True,True,5,5,5,4,4
HEAD_020_v52,OBSERVE THE RING THEN REDUCE THE PLATE TO MAGNETIC THEN MARK,6394e89be4ad628a111e8a33d1130121e20f687f6109f2cb8db86e299a079939,21337,0.6363636363636364,2,7,True,True,4,5,5,3,4
HEAD_021_v52,OBSERVE THE ARC THEN REDUCE THE ANGLE TO SECONDS AT STATION AND READ,cecc8c3e6eb109210e66ad17227b27f14578fc23cc696a404e8f940935c5cfda,22337,0.6923076923076923,2,9,True,True,5,5,5,4,4
HEAD_022_v52,FOLLOW THE LINE ALONG THE MARKER THEN READ THE PLATE AND READ,a8802269cb3a5b13c50da04938737ca11f2f23840b68bd0b2628a0c1171ddd4d,23337,0.5833333333333334,3,6,True,True,5,5,5,4,4
HEAD_023_v52,SET THE ARC TO TRUE ANGLE THEN READ THE STONE AND READ THEN NOTE,d8f44603dcf5d5b7a214c52eb5f842dc4ae7e791fe846c55c97ce6f5c3d8e20e,24337,0.6428571428571429,2,8,True,True,5,5,5,4,4
HEAD_024_v52,TRACE THE YARD THEN SET THE RING AND READ AT STATION THEN MARK,b5084d23825b27bc52a17317dbad54c13b081e26ffd3439f0a8ffa2d615ca79a,25337,0.6153846153846154,2,8,True,True,5,5,5,4,4
HEAD_025_v52,SIGHT THE SECTOR THEN NOTE THE STONE THEN NOTE AT STATION THEN MARK,afea74fcb18c9f1702c4d6879b708a8194fd523d604f8d86aeb646d01b674c3f,26337,0.6153846153846154,2,7,True,True,4,5,5,3,4
